date,house_price_index,interest_rate,unemployment,population
2017-07-01,78.9,2.0533333333333332,4.0,5760694.0
2017-10-01,79.6,1.8416666666666668,4.033333333333333,5778570.0
2018-01-01,80.8,2.039,4.166666666666667,5781190.0
2018-04-01,81.5,2.1253333333333333,3.6,5785864.0
2018-07-01,81.8,2.1266666666666665,3.5,5789957.0
2018-10-01,82.4,1.998333333333333,3.6333333333333333,5806015.0
2019-01-01,82.9,1.8723333333333334,3.8666666666666667,5806081.0
2019-04-01,83.8,1.8063333333333336,3.4,5811413.0
2019-07-01,84.5,1.5556666666666665,3.4333333333333336,5814461.0
2019-10-01,85.1,1.466,3.6,5827463.0
2020-01-01,85.0,1.4796666666666667,4.0,5822763.0
2020-04-01,85.5,1.6563333333333334,5.0,5824857.0
2020-07-01,88.3,1.532333333333333,4.6000000000000005,5825337.0
2020-10-01,91.7,1.455,4.333333333333333,5837213.0
2021-01-01,95.0,1.4186666666666667,4.666666666666667,5840045.0
2021-04-01,97.5,1.736,3.733333333333333,5843347.0
2021-07-01,99.4,1.7376666666666667,3.1666666666666665,5850189.0
2021-10-01,100.5,1.7753333333333332,2.533333333333333,5867412.0
2022-01-01,102.3,2.1086666666666667,2.6,5873420.0
2022-04-01,101.9,2.7723333333333335,2.3666666666666667,5883562.0
2022-07-01,99.7,3.501,2.466666666666667,5910577.0
2022-10-01,96.1,4.591666666666667,2.4,5928364.0
2023-01-01,95.7,5.001666666666666,2.8666666666666667,5932654.0
2023-04-01,96.5,5.218666666666667,2.6333333333333333,5941388.0
2023-07-01,98.3,5.457666666666667,2.6999999999999997,5944145.0
2023-10-01,99.1,5.347666666666666,2.6,5959464.0
2024-01-01,99.1,4.7250000000000005,3.0666666666666664,5961249.0
2024-04-01,100.7,4.7139999999999995,2.733333333333333,5967824.0
2024-07-01,100.6,4.520666666666667,2.766666666666667,5972420.0
2024-10-01,103.1,4.038333333333333,2.6666666666666665,5989985.0
2025-01-01,104.6,3.943,3.0666666666666664,5992734.0
2025-04-01,105.6,3.8520000000000003,2.733333333333333,5999677.0
2025-07-01,107.7,3.6679999999999997,2.8000000000000003,6002420.0
2025-10-01,110.4,3.591666666666667,2.7000000000000006,6019866.0
2026-01-01,112.3,3.801,3.266666666666667,6025603.0
